Sample , PV , SP , OUT , WILD 
1 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
2 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
3 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
4 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
5 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
6 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
7 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
8 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
9 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
10 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
11 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
12 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
13 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
14 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
15 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
16 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
17 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
18 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
19 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
20 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
21 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
22 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
23 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
24 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
25 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
26 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
27 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
28 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
29 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
30 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
31 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
32 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
33 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
34 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
35 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
36 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
37 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
38 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
39 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
40 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
41 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
42 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
43 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
44 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
45 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
46 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
47 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
48 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
49 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
50 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
51 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
52 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
53 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
54 , 50.019211 , 50.019211 , 50.000000 , 0.000000 
55 , 48.685875 , 40.019211 , 100.000000 , 0.000000 
56 , 46.685871 , 50.019211 , 0.000000 , 0.000000 
57 , 49.796989 , 50.019211 , 38.888931 , 0.000000 
58 , 50.018295 , 50.019211 , 49.954224 , 0.000000 
59 , 50.019207 , 50.019211 , 49.999809 , 0.000000 
